dish_name,dish_type,meal_category,veg,region,ingredients,weekend_special,calories,protein,carbs,fat
Idli,Main,Breakfast,True,Tamil Nadu,"rice:200g;urad dal:50g;salt:5g;water:500ml",False,180,6,35,1
Dosa,Main,Breakfast,True,South India,"rice:200g;urad dal:50g;oil:20ml",False,220,6,38,5
Masala Dosa,Main,Breakfast,True,South India,"rice:200g;potato:150g;oil:20ml",True,320,8,48,10
Pongal,Main,Breakfast,True,Tamil Nadu,"rice:150g;moong dal:80g;ghee:20ml",False,300,10,40,10
Rava Upma,Main,Breakfast,True,India,"rava:150g;onion:1;carrot:1",False,240,5,35,7
Semiya Upma,Main,Breakfast,True,India,"vermicelli:150g;onion:1;beans:50g",False,230,5,37,6
Poha,Main,Breakfast,True,India,"flattened rice:150g;onion:1;peas:50g",False,210,4,36,5
Aval Upma,Main,Breakfast,True,South India,"aval:150g;onion:1;groundnut:30g",False,220,5,32,7
Appam,Main,Breakfast,True,Kerala,"rice flour:200g;coconut milk:100ml",False,250,4,40,8
Idiyappam,Main,Breakfast,True,Tamil Nadu,"rice flour:200g;coconut:50g",False,240,4,42,4
Puttu,Main,Breakfast,True,Kerala,"rice flour:200g;coconut:80g",False,260,5,40,8
Adai,Main,Breakfast,True,Tamil Nadu,"toor dal:50g;chana dal:50g;onion:1",False,280,12,32,8
Kambu Koozh,Main,Breakfast,True,Tamil Nadu,"kambu flour:150g;curd:100ml",False,200,6,32,4
Ragi Koozh,Main,Breakfast,True,Tamil Nadu,"ragi flour:150g;curd:100ml",False,210,6,34,3
Chapati,Main,Breakfast,True,India,"wheat flour:200g",False,220,7,40,3
Poori,Main,Breakfast,True,India,"wheat flour:200g;oil:50ml",True,340,6,42,15
Parotta,Main,Breakfast,True,Tamil Nadu,"maida:250g;oil:40ml",True,420,7,55,18
Aloo Paratha,Main,Breakfast,True,North India,"wheat flour:200g;potato:150g",True,360,8,50,12
Paneer Paratha,Main,Breakfast,True,North India,"wheat flour:200g;paneer:100g",True,390,15,42,16
Vegetable Sandwich,Main,Breakfast,True,India,"bread:4 slices;tomato:1;cucumber:1",False,250,8,32,8
Bread Omelette,Main,Breakfast,False,India,"bread:4 slices;egg:2",False,320,15,28,14
